#	gene name	KO	thrshld	score	E-value	"KO definition"
#	---------	------	-------	------	---------	-------------
	fig|2026740.25.peg.22	K15633	73.80	11.1	0.024	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|2026740.25.peg.75	K15634	204.30	17.9	0.00046	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|2026740.25.peg.131	K15634	204.30	45.8	1.6e-12	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|2026740.25.peg.146	K02588	363.57	13.6	0.0056	"nitrogenase iron protein NifH"
	fig|2026740.25.peg.254	K15633	73.80	17.2	0.00034	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|2026740.25.peg.267	K15633	73.80	25.6	9.9e-07	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|2026740.25.peg.281	K15633	73.80	33.0	6e-09	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|2026740.25.peg.359	K02588	363.57	32.7	9.2e-09	"nitrogenase iron protein NifH"
	fig|2026740.25.peg.359	K22899	558.90	13.0	0.014	"vanadium nitrogenase iron protein"
	fig|2026740.25.peg.370	K15633	73.80	12.5	0.0093	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|2026740.25.peg.1068	K15633	73.80	13.2	0.0056	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
*	fig|2026740.25.peg.1212	K15633	73.80	770.8	2.8e-232	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|2026740.25.peg.1328	K15633	73.80	23.5	4.3e-06	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|2026740.25.peg.1927	K15634	204.30	119.1	8.5e-35	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|2026740.25.peg.2193	K15633	73.80	24.8	1.7e-06	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|2026740.25.peg.2195	K15633	73.80	24.3	2.4e-06	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
*	fig|2026740.25.peg.2317	K01689	259.63	772.6	1.1e-232	"enolase 1/2/3 [EC:4.2.1.11]"
	fig|2026740.25.peg.2404	K18425	508.83	88.0	1.7e-25	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|2026740.25.peg.2448	K02588	363.57	35.4	1.4e-09	"nitrogenase iron protein NifH"
	fig|2026740.25.peg.2448	K22899	558.90	14.3	0.0052	"vanadium nitrogenase iron protein"
	fig|2026740.25.peg.2602	K00134	410.33	15.1	0.0023	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|2026740.25.peg.2702	K02588	363.57	11.7	0.022	"nitrogenase iron protein NifH"
	fig|2026740.25.peg.3113	K02586	545.20	11.6	0.02	"nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
	fig|2026740.25.peg.3135	K02588	363.57	26.1	8.8e-07	"nitrogenase iron protein NifH"
	fig|2026740.25.peg.3135	K22899	558.90	15.8	0.0018	"vanadium nitrogenase iron protein"
	fig|2026740.25.peg.3898	K18425	508.83	18.1	0.0003	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|2026740.25.peg.4116	K18425	508.83	10.6	0.058	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|2026740.25.peg.4182	K22897	837.87	11.0	0.033	"vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]"
	fig|2026740.25.peg.4199	K02591	430.50	7.7	0.34	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
*	fig|2026740.25.peg.4374	K00927	98.03	613.5	1e-184	"phosphoglycerate kinase [EC:2.7.2.3]"
*	fig|2026740.25.peg.4607	K00134	410.33	631.3	2.7e-190	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|2026740.25.peg.4713	K15633	73.80	24.1	2.8e-06	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|2026740.25.peg.4997	K02588	363.57	34.0	3.5e-09	"nitrogenase iron protein NifH"
	fig|2026740.25.peg.4997	K22899	558.90	24.0	6e-06	"vanadium nitrogenase iron protein"
	fig|2026740.25.peg.5033	K15634	204.30	38.3	2.9e-10	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
