#	gene name	KO	thrshld	score	E-value	"KO definition"
#	---------	------	-------	------	---------	-------------
	fig|1112.14.peg.172	K00134	410.33	23.7	3.6e-06	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|1112.14.peg.445	K15633	73.80	17.7	0.00016	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
*	fig|1112.14.peg.458	K01689	259.63	723.3	5.7e-218	"enolase 1/2/3 [EC:4.2.1.11]"
*	fig|1112.14.peg.550	K00927	98.03	499.5	2.2e-150	"phosphoglycerate kinase [EC:2.7.2.3]"
*	fig|1112.14.peg.551	K00134	410.33	484.3	7.1e-146	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|1112.14.peg.672	K02588	363.57	254.8	2.4e-76	"nitrogenase iron protein NifH"
	fig|1112.14.peg.672	K22899	558.90	153.9	9.3e-46	"vanadium nitrogenase iron protein"
	fig|1112.14.peg.674	K02591	430.50	147.4	9.3e-44	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|1112.14.peg.674	K02586	545.20	90.5	1.5e-26	"nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
	fig|1112.14.peg.674	K22897	837.87	33.8	2.8e-09	"vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]"
	fig|1112.14.peg.675	K02586	545.20	69.5	3.6e-20	"nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
	fig|1112.14.peg.675	K02591	430.50	50.6	2.2e-14	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|1112.14.peg.675	K22896	885.23	16.1	0.00057	"vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2]"
	fig|1112.14.peg.690	K02591	430.50	66.2	4.1e-19	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|1112.14.peg.690	K02586	545.20	32.3	7.1e-09	"nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
	fig|1112.14.peg.691	K02591	430.50	37.8	1.6e-10	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|1112.14.peg.691	K02586	545.20	18.1	0.00014	"nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
	fig|1112.14.peg.692	K02588	363.57	243.2	7.9e-73	"nitrogenase iron protein NifH"
	fig|1112.14.peg.692	K22899	558.90	158.5	3.8e-47	"vanadium nitrogenase iron protein"
	fig|1112.14.peg.1189	K15634	204.30	26.1	9.7e-07	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|1112.14.peg.2348	K15634	204.30	93.3	3.6e-27	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|1112.14.peg.2399	K02588	363.57	21.3	1.7e-05	"nitrogenase iron protein NifH"
	fig|1112.14.peg.2399	K22899	558.90	10.8	0.042	"vanadium nitrogenase iron protein"
	fig|1112.14.peg.2551	K02588	363.57	31.2	1.7e-08	"nitrogenase iron protein NifH"
	fig|1112.14.peg.2551	K22899	558.90	15.8	0.0013	"vanadium nitrogenase iron protein"
	fig|1112.14.peg.2707	K02588	363.57	29.4	5.8e-08	"nitrogenase iron protein NifH"
	fig|1112.14.peg.2707	K22899	558.90	19.7	8.1e-05	"vanadium nitrogenase iron protein"
	fig|1112.14.peg.2848	K02588	363.57	15.3	0.0011	"nitrogenase iron protein NifH"
	fig|1112.14.peg.3044	K15634	204.30	117.5	1.6e-34	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|1112.14.peg.3090	K02588	363.57	12.8	0.0066	"nitrogenase iron protein NifH"
