#	gene name	KO	thrshld	score	E-value	"KO definition"
#	---------	------	-------	------	---------	-------------
	fig|1666912.10.peg.201	K01689	259.63	8.6	0.12	"enolase 1/2/3 [EC:4.2.1.11]"
	fig|1666912.10.peg.369	K15633	73.80	35.3	8.7e-10	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|1666912.10.peg.528	K02586	545.20	53.7	2.6e-15	"nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
	fig|1666912.10.peg.528	K02591	430.50	41.7	1.2e-11	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|1666912.10.peg.529	K02591	430.50	148.4	5.2e-44	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|1666912.10.peg.529	K02586	545.20	103.8	1.7e-30	"nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
	fig|1666912.10.peg.529	K22897	837.87	39.2	7.2e-11	"vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]"
	fig|1666912.10.peg.529	K22896	885.23	14.4	0.0021	"vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2]"
	fig|1666912.10.peg.531	K02588	363.57	279.0	1.2e-83	"nitrogenase iron protein NifH"
	fig|1666912.10.peg.531	K22899	558.90	177.4	7.4e-53	"vanadium nitrogenase iron protein"
	fig|1666912.10.peg.586	K18425	508.83	13.1	0.0072	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|1666912.10.peg.643	K02588	363.57	11.9	0.013	"nitrogenase iron protein NifH"
	fig|1666912.10.peg.649	K15634	204.30	106.0	5.6e-31	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|1666912.10.peg.687	K02588	363.57	12.9	0.0069	"nitrogenase iron protein NifH"
*	fig|1666912.10.peg.935	K01689	259.63	733.5	5.3e-221	"enolase 1/2/3 [EC:4.2.1.11]"
	fig|1666912.10.peg.992	K02588	363.57	49.1	7e-14	"nitrogenase iron protein NifH"
	fig|1666912.10.peg.992	K22899	558.90	35.3	1.6e-09	"vanadium nitrogenase iron protein"
	fig|1666912.10.peg.1011	K00134	410.33	383.3	3.5e-115	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|1666912.10.peg.1110	K02588	363.57	244.1	4.7e-73	"nitrogenase iron protein NifH"
	fig|1666912.10.peg.1110	K22899	558.90	163.9	1e-48	"vanadium nitrogenase iron protein"
	fig|1666912.10.peg.1111	K02591	430.50	30.2	4e-08	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|1666912.10.peg.1113	K02591	430.50	75.9	5.3e-22	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|1666912.10.peg.1113	K02586	545.20	30.3	3e-08	"nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
	fig|1666912.10.peg.1417	K02588	363.57	29.8	5e-08	"nitrogenase iron protein NifH"
	fig|1666912.10.peg.1417	K22899	558.90	11.9	0.022	"vanadium nitrogenase iron protein"
*	fig|1666912.10.peg.1504	K00134	410.33	468.6	4.6e-141	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
*	fig|1666912.10.peg.1848	K15633	73.80	720.6	3.3e-217	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|1666912.10.peg.1884	K02588	363.57	13.9	0.0033	"nitrogenase iron protein NifH"
	fig|1666912.10.peg.1890	K15634	204.30	33.6	5.7e-09	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
*	fig|1666912.10.peg.2111	K18425	508.83	603.4	2.8e-182	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|1666912.10.peg.2113	K00134	410.33	343.3	4.7e-103	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
*	fig|1666912.10.peg.2161	K00134	410.33	427.5	1.3e-128	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
*	fig|1666912.10.peg.2561	K00927	98.03	570.9	6.3e-172	"phosphoglycerate kinase [EC:2.7.2.3]"
	fig|1666912.10.peg.2742	K00134	410.33	20.9	2.9e-05	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|1666912.10.peg.2761	K02588	363.57	11.9	0.013	"nitrogenase iron protein NifH"
	fig|1666912.10.peg.3416	K00927	98.03	10.4	0.031	"phosphoglycerate kinase [EC:2.7.2.3]"
*	fig|1666912.10.peg.3666	K18425	508.83	609.3	4.7e-184	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
