#	gene name	KO	thrshld	score	E-value	"KO definition"
#	---------	------	-------	------	---------	-------------
	fig|239.63.peg.52	K18425	508.83	16.9	0.00038	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|239.63.peg.97	K02588	363.57	0.8	24	"nitrogenase iron protein NifH"
*	fig|239.63.peg.143	K15633	73.80	768.6	7.7e-232	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
*	fig|239.63.peg.225	K01689	259.63	751.1	2e-226	"enolase 1/2/3 [EC:4.2.1.11]"
	fig|239.63.peg.265	K15633	73.80	27.3	1.8e-07	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|239.63.peg.553	K18425	508.83	20.9	2.3e-05	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|239.63.peg.611	K15634	204.30	37.5	3e-10	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|239.63.peg.749	K02588	363.57	15.8	0.00069	"nitrogenase iron protein NifH"
	fig|239.63.peg.749	K22899	558.90	14.2	0.0035	"vanadium nitrogenase iron protein"
	fig|239.63.peg.836	K02588	363.57	35.0	1.1e-09	"nitrogenase iron protein NifH"
	fig|239.63.peg.836	K22899	558.90	13.9	0.0041	"vanadium nitrogenase iron protein"
*	fig|239.63.peg.915	K00134	410.33	442.5	3.1e-133	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|239.63.peg.1003	K02588	363.57	16.4	0.00047	"nitrogenase iron protein NifH"
	fig|239.63.peg.1012	K00134	410.33	373.3	3e-112	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
*	fig|239.63.peg.1137	K00134	410.33	598.8	1.2e-180	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|239.63.peg.1279	K18425	508.83	17.0	0.00038	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
*	fig|239.63.peg.1654	K00927	98.03	609.1	1.3e-183	"phosphoglycerate kinase [EC:2.7.2.3]"
	fig|239.63.peg.1738	K00927	98.03	11.2	0.014	"phosphoglycerate kinase [EC:2.7.2.3]"
	fig|239.63.peg.1797	K02588	363.57	15.5	0.00084	"nitrogenase iron protein NifH"
	fig|239.63.peg.1832	K00134	410.33	19.2	7.5e-05	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|239.63.peg.2101	K02586	545.20	14.3	0.0018	"nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
	fig|239.63.peg.2413	K02591	430.50	13.1	0.0049	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|239.63.peg.2542	K02588	363.57	46.9	2.6e-13	"nitrogenase iron protein NifH"
	fig|239.63.peg.2542	K22899	558.90	31.0	2.6e-08	"vanadium nitrogenase iron protein"
	fig|239.63.peg.2724	K00134	410.33	21.4	1.6e-05	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
