#	gene name	KO	thrshld	score	E-value	"KO definition"
#	---------	------	-------	------	---------	-------------
*	fig|60890.84.peg.226	K00134	410.33	473.3	2.1e-142	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|60890.84.peg.258	K02588	363.57	18.4	0.00017	"nitrogenase iron protein NifH"
	fig|60890.84.peg.315	K22897	837.87	14.1	0.0035	"vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]"
	fig|60890.84.peg.330	K02588	363.57	27.5	3.1e-07	"nitrogenase iron protein NifH"
	fig|60890.84.peg.330	K22899	558.90	12.6	0.016	"vanadium nitrogenase iron protein"
	fig|60890.84.peg.1176	K02588	363.57	22.5	1e-05	"nitrogenase iron protein NifH"
	fig|60890.84.peg.1190	K18425	508.83	28.0	2.7e-07	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|60890.84.peg.1212	K02588	363.57	16.7	0.00058	"nitrogenase iron protein NifH"
	fig|60890.84.peg.1254	K02588	363.57	18.2	0.0002	"nitrogenase iron protein NifH"
	fig|60890.84.peg.1285	K00134	410.33	409.7	4.1e-123	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|60890.84.peg.1314	K15633	73.80	27.4	2.5e-07	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
*	fig|60890.84.peg.1442	K01689	259.63	741.3	2.8e-223	"enolase 1/2/3 [EC:4.2.1.11]"
	fig|60890.84.peg.1514	K02588	363.57	50.7	2.9e-14	"nitrogenase iron protein NifH"
	fig|60890.84.peg.1514	K22899	558.90	29.0	1.6e-07	"vanadium nitrogenase iron protein"
	fig|60890.84.peg.1567	K02588	363.57	43.7	3.9e-12	"nitrogenase iron protein NifH"
	fig|60890.84.peg.1567	K22899	558.90	16.0	0.0014	"vanadium nitrogenase iron protein"
	fig|60890.84.peg.1658	K02588	363.57	19.5	8.2e-05	"nitrogenase iron protein NifH"
	fig|60890.84.peg.1931	K15634	204.30	88.1	1.9e-25	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|60890.84.peg.1959	K15634	204.30	37.2	5.7e-10	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|60890.84.peg.2287	K02588	363.57	10.5	0.045	"nitrogenase iron protein NifH"
*	fig|60890.84.peg.2397	K15633	73.80	730.1	5.4e-220	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
*	fig|60890.84.peg.2428	K00927	98.03	565.7	2.8e-170	"phosphoglycerate kinase [EC:2.7.2.3]"
	fig|60890.84.peg.2587	K00134	410.33	18.6	0.00018	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|60890.84.peg.2664	K18425	508.83	279.9	7.2e-84	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|60890.84.peg.2702	K15634	204.30	126.7	3.5e-37	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|60890.84.peg.2904	K02588	363.57	10.6	0.042	"nitrogenase iron protein NifH"
	fig|60890.84.peg.2998	K15633	73.80	28.6	1.1e-07	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|60890.84.peg.3147	K00927	98.03	11.0	0.024	"phosphoglycerate kinase [EC:2.7.2.3]"
	fig|60890.84.peg.3185	K15633	73.80	46.5	4.3e-13	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|60890.84.peg.3265	K02588	363.57	11.0	0.032	"nitrogenase iron protein NifH"
	fig|60890.84.peg.3421	K15634	204.30	124.5	1.6e-36	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|60890.84.peg.3660	K15633	73.80	12.9	0.0064	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|60890.84.peg.3703	K02588	363.57	12.0	0.015	"nitrogenase iron protein NifH"
	fig|60890.84.peg.3815	K02588	363.57	13.1	0.0071	"nitrogenase iron protein NifH"
	fig|60890.84.peg.4023	K00134	410.33	322.2	1.5e-96	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|60890.84.peg.4582	K00134	410.33	121.9	8.4e-36	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
