#	gene name	KO	thrshld	score	E-value	"KO definition"
#	---------	------	-------	------	---------	-------------
	fig|266.48.peg.24	K02588	363.57	14.9	0.0019	"nitrogenase iron protein NifH"
	fig|266.48.peg.373	K02588	363.57	46.3	5.5e-13	"nitrogenase iron protein NifH"
	fig|266.48.peg.373	K22899	558.90	29.0	1.4e-07	"vanadium nitrogenase iron protein"
	fig|266.48.peg.512	K00134	410.33	22.9	7.8e-06	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|266.48.peg.646	K15634	204.30	13.5	0.0079	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|266.48.peg.653	K15634	204.30	108.5	1.1e-31	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|266.48.peg.908	K18425	508.83	362.2	6.3e-109	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|266.48.peg.1074	K02588	363.57	19.5	7.3e-05	"nitrogenase iron protein NifH"
	fig|266.48.peg.1094	K15634	204.30	155.6	5.4e-46	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|266.48.peg.1206	K02588	363.57	14.2	0.003	"nitrogenase iron protein NifH"
	fig|266.48.peg.1243	K15633	73.80	14.2	0.0022	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
*	fig|266.48.peg.1268	K01689	259.63	730.1	6.2e-220	"enolase 1/2/3 [EC:4.2.1.11]"
	fig|266.48.peg.1518	K02586	545.20	34.8	1.5e-09	"nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
	fig|266.48.peg.1518	K02591	430.50	31.8	1.3e-08	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|266.48.peg.1519	K02591	430.50	104.4	1.3e-30	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|266.48.peg.1519	K02586	545.20	85.7	5.6e-25	"nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
	fig|266.48.peg.1519	K22897	837.87	27.2	3.5e-07	"vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]"
	fig|266.48.peg.1658	K01689	259.63	15.2	0.0013	"enolase 1/2/3 [EC:4.2.1.11]"
*	fig|266.48.peg.1792	K00927	98.03	523.1	2e-157	"phosphoglycerate kinase [EC:2.7.2.3]"
	fig|266.48.peg.1826	K15633	73.80	30.2	3.2e-08	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
*	fig|266.48.peg.1832	K00134	410.33	491.3	6.8e-148	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|266.48.peg.1864	K02588	363.57	22.1	1.2e-05	"nitrogenase iron protein NifH"
	fig|266.48.peg.1864	K22899	558.90	11.5	0.031	"vanadium nitrogenase iron protein"
*	fig|266.48.peg.2163	K15633	73.80	728.0	2.1e-219	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|266.48.peg.2669	K02591	430.50	16.3	0.0007	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|266.48.peg.2670	K02591	430.50	34.1	2.7e-09	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|266.48.peg.2670	K02586	545.20	10.4	0.036	"nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
	fig|266.48.peg.2671	K02588	363.57	249.1	1.6e-74	"nitrogenase iron protein NifH"
	fig|266.48.peg.2671	K22899	558.90	166.5	1.8e-49	"vanadium nitrogenase iron protein"
	fig|266.48.peg.2920	K15633	73.80	18.1	0.00016	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|266.48.peg.2946	K15634	204.30	47.4	4.1e-13	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|266.48.peg.3129	K02588	363.57	275.1	2e-82	"nitrogenase iron protein NifH"
	fig|266.48.peg.3129	K22899	558.90	171.7	4.3e-51	"vanadium nitrogenase iron protein"
	fig|266.48.peg.3817	K02591	430.50	63.9	2.5e-18	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|266.48.peg.3817	K02586	545.20	30.3	3.3e-08	"nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
	fig|266.48.peg.3817	K22897	837.87	10.7	0.033	"vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]"
