#	gene name	KO	thrshld	score	E-value	"KO definition"
#	---------	------	-------	------	---------	-------------
	fig|57028.8.peg.120	K02591	430.50	13.7	0.0046	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|57028.8.peg.130	K18425	508.83	86.2	5.1e-25	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|57028.8.peg.297	K15633	73.80	20.1	4.1e-05	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|57028.8.peg.307	K15633	73.80	9.8	0.052	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|57028.8.peg.460	K15633	73.80	17.8	0.0002	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|57028.8.peg.461	K15633	73.80	14.2	0.0025	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|57028.8.peg.635	K18425	508.83	10.2	0.063	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|57028.8.peg.727	K02588	363.57	10.4	0.044	"nitrogenase iron protein NifH"
	fig|57028.8.peg.742	K02588	363.57	15.0	0.0017	"nitrogenase iron protein NifH"
	fig|57028.8.peg.769	K15634	204.30	54.9	2.2e-15	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
*	fig|57028.8.peg.1079	K00927	98.03	620.9	5.1e-187	"phosphoglycerate kinase [EC:2.7.2.3]"
	fig|57028.8.peg.1586	K00134	410.33	19.9	6.8e-05	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|57028.8.peg.1632	K15633	73.80	17.0	0.00034	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|57028.8.peg.1813	K02588	363.57	29.0	1e-07	"nitrogenase iron protein NifH"
	fig|57028.8.peg.1813	K22899	558.90	14.7	0.0035	"vanadium nitrogenase iron protein"
*	fig|57028.8.peg.2120	K15633	73.80	779.7	5.1e-235	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|57028.8.peg.2141	K18425	508.83	15.0	0.0022	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
*	fig|57028.8.peg.2294	K01689	259.63	762.6	9.8e-230	"enolase 1/2/3 [EC:4.2.1.11]"
	fig|57028.8.peg.2357	K18425	508.83	24.5	2.8e-06	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|57028.8.peg.2435	K00927	98.03	13.7	0.0036	"phosphoglycerate kinase [EC:2.7.2.3]"
	fig|57028.8.peg.2508	K15633	73.80	11.3	0.018	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|57028.8.peg.2615	K15634	204.30	125.9	6.1e-37	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
*	fig|57028.8.peg.2974	K00134	410.33	446.5	2.8e-134	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|57028.8.peg.3011	K15634	204.30	38.7	1.9e-10	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|57028.8.peg.3152	K02588	363.57	7.3	0.39	"nitrogenase iron protein NifH"
	fig|57028.8.peg.3164	K15633	73.80	43.8	2.7e-12	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|57028.8.peg.3204	K15633	73.80	11.7	0.013	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|57028.8.peg.3227	K02588	363.57	32.1	1.2e-08	"nitrogenase iron protein NifH"
	fig|57028.8.peg.3227	K22899	558.90	21.4	3.1e-05	"vanadium nitrogenase iron protein"
	fig|57028.8.peg.3953	K01689	259.63	11.4	0.02	"enolase 1/2/3 [EC:4.2.1.11]"
	fig|57028.8.peg.4028	K15634	204.30	25.6	1.8e-06	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|57028.8.peg.4086	K15633	73.80	17.9	0.00019	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
*	fig|57028.8.peg.4102	K00134	410.33	633.6	4.7e-191	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|57028.8.peg.4207	K02588	363.57	11.0	0.029	"nitrogenase iron protein NifH"
	fig|57028.8.peg.4250	K02591	430.50	5.0	2	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
