#	gene name	KO	thrshld	score	E-value	"KO definition"
#	---------	------	-------	------	---------	-------------
	fig|1819565.6.peg.37	K00134	410.33	12.7	0.0074	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|1819565.6.peg.97	K02588	363.57	47.2	2.2e-13	"nitrogenase iron protein NifH"
	fig|1819565.6.peg.97	K22899	558.90	29.6	6.7e-08	"vanadium nitrogenase iron protein"
	fig|1819565.6.peg.193	K02588	363.57	18.1	0.00014	"nitrogenase iron protein NifH"
	fig|1819565.6.peg.345	K02586	545.20	36.0	4.6e-10	"nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
	fig|1819565.6.peg.345	K02591	430.50	30.0	3.6e-08	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|1819565.6.peg.346	K02591	430.50	158.7	3.3e-47	"nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]"
	fig|1819565.6.peg.346	K02586	545.20	113.7	1.3e-33	"nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]"
	fig|1819565.6.peg.346	K22897	837.87	43.4	3.1e-12	"vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]"
	fig|1819565.6.peg.574	K02588	363.57	20.0	3.9e-05	"nitrogenase iron protein NifH"
*	fig|1819565.6.peg.826	K15633	73.80	699.4	6.9e-211	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|1819565.6.peg.1011	K02588	363.57	267.5	3e-80	"nitrogenase iron protein NifH"
	fig|1819565.6.peg.1011	K22899	558.90	162.2	2.6e-48	"vanadium nitrogenase iron protein"
	fig|1819565.6.peg.1022	K15633	73.80	13.4	0.0029	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|1819565.6.peg.1057	K02588	363.57	19.1	7.3e-05	"nitrogenase iron protein NifH"
	fig|1819565.6.peg.1156	K00134	410.33	15.5	0.001	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|1819565.6.peg.1167	K15633	73.80	27.1	2.1e-07	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|1819565.6.peg.1262	K00134	410.33	376.5	3.3e-113	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|1819565.6.peg.1278	K18425	508.83	376.3	2.5e-113	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|1819565.6.peg.1281	K18425	508.83	376.3	2.5e-113	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|1819565.6.peg.1735	K15634	204.30	116.0	4.3e-34	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|1819565.6.peg.1751	K01689	259.63	45.9	4.9e-13	"enolase 1/2/3 [EC:4.2.1.11]"
*	fig|1819565.6.peg.2006	K00134	410.33	430.3	1.6e-129	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|1819565.6.peg.2167	K18425	508.83	10.9	0.027	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|1819565.6.peg.2352	K01689	259.63	16.5	0.0004	"enolase 1/2/3 [EC:4.2.1.11]"
	fig|1819565.6.peg.2669	K00134	410.33	13.9	0.0032	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|1819565.6.peg.2704	K02588	363.57	23.6	3e-06	"nitrogenase iron protein NifH"
	fig|1819565.6.peg.2719	K02588	363.57	18.5	0.00011	"nitrogenase iron protein NifH"
	fig|1819565.6.peg.2864	K00134	410.33	14.5	0.0022	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
*	fig|1819565.6.peg.2870	K00927	98.03	273.5	5.3e-82	"phosphoglycerate kinase [EC:2.7.2.3]"
	fig|1819565.6.peg.2970	K02588	363.57	76.3	3.2e-22	"nitrogenase iron protein NifH"
	fig|1819565.6.peg.2970	K22899	558.90	47.6	2.3e-13	"vanadium nitrogenase iron protein"
	fig|1819565.6.peg.3023	K18425	508.83	250.1	5.7e-75	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|1819565.6.peg.3046	K02588	363.57	21.3	1.5e-05	"nitrogenase iron protein NifH"
	fig|1819565.6.peg.3083	K02588	363.57	58.4	8.4e-17	"nitrogenase iron protein NifH"
	fig|1819565.6.peg.3083	K22899	558.90	30.0	5.2e-08	"vanadium nitrogenase iron protein"
