#	gene name	KO	thrshld	score	E-value	"KO definition"
#	---------	------	-------	------	---------	-------------
	fig|60890.85.peg.1	K02588	363.57	18.6	0.00016	"nitrogenase iron protein NifH"
	fig|60890.85.peg.1	K22899	558.90	12.6	0.017	"vanadium nitrogenase iron protein"
	fig|60890.85.peg.269	K02588	363.57	18.1	0.00022	"nitrogenase iron protein NifH"
	fig|60890.85.peg.339	K15634	204.30	74.0	3.7e-21	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
*	fig|60890.85.peg.541	K00134	410.33	433.7	2.3e-130	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|60890.85.peg.839	K00134	410.33	381.0	2.3e-114	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|60890.85.peg.1319	K02588	363.57	15.4	0.0014	"nitrogenase iron protein NifH"
	fig|60890.85.peg.1326	K02588	363.57	10.2	0.057	"nitrogenase iron protein NifH"
*	fig|60890.85.peg.1400	K00134	410.33	462.0	5.7e-139	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|60890.85.peg.1506	K15633	73.80	25.1	1.3e-06	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|60890.85.peg.1578	K02588	363.57	52.9	6.4e-15	"nitrogenase iron protein NifH"
	fig|60890.85.peg.1578	K22899	558.90	32.8	1.1e-08	"vanadium nitrogenase iron protein"
	fig|60890.85.peg.1628	K15633	73.80	35.6	8.7e-10	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
*	fig|60890.85.peg.1754	K15633	73.80	720.5	4.5e-217	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|60890.85.peg.2163	K15633	73.80	31.1	2e-08	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|60890.85.peg.2284	K00134	410.33	19.0	0.00014	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|60890.85.peg.2503	K00134	410.33	307.2	5.4e-92	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|60890.85.peg.2538	K02588	363.57	33.4	5.2e-09	"nitrogenase iron protein NifH"
	fig|60890.85.peg.2538	K22899	558.90	16.1	0.0015	"vanadium nitrogenase iron protein"
	fig|60890.85.peg.2826	K15634	204.30	136.6	3.8e-40	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|60890.85.peg.3270	K02588	363.57	18.3	0.00019	"nitrogenase iron protein NifH"
	fig|60890.85.peg.3350	K15634	204.30	36.1	1.3e-09	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|60890.85.peg.3388	K00134	410.33	11.3	0.031	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|60890.85.peg.3527	K15634	204.30	119.2	7.3e-35	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|60890.85.peg.3590	K02588	363.57	30.3	4.4e-08	"nitrogenase iron protein NifH"
	fig|60890.85.peg.3590	K22899	558.90	14.3	0.0048	"vanadium nitrogenase iron protein"
	fig|60890.85.peg.3602	K15633	73.80	42.2	8.7e-12	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
*	fig|60890.85.peg.3870	K01689	259.63	739.2	1.2e-222	"enolase 1/2/3 [EC:4.2.1.11]"
	fig|60890.85.peg.4044	K02588	363.57	43.4	4.9e-12	"nitrogenase iron protein NifH"
	fig|60890.85.peg.4044	K22899	558.90	14.7	0.0037	"vanadium nitrogenase iron protein"
	fig|60890.85.peg.4081	K15634	204.30	23.3	9.9e-06	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
*	fig|60890.85.peg.4212	K00927	98.03	537.3	1.1e-161	"phosphoglycerate kinase [EC:2.7.2.3]"
	fig|60890.85.peg.4290	K15634	204.30	99.8	5.4e-29	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|60890.85.peg.4422	K18425	508.83	90.7	2.3e-26	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|60890.85.peg.4494	K15634	204.30	102.6	8.2e-30	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|60890.85.peg.4516	K02588	363.57	19.5	8.3e-05	"nitrogenase iron protein NifH"
	fig|60890.85.peg.4668	K15634	204.30	66.7	6.3e-19	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|60890.85.peg.4765	K02588	363.57	20.3	4.8e-05	"nitrogenase iron protein NifH"
