#	gene name	KO	thrshld	score	E-value	"KO definition"
#	---------	------	-------	------	---------	-------------
	fig|192.162.peg.133	K18425	508.83	11.0	0.02	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|192.162.peg.270	K15634	204.30	41.4	1.6e-11	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
*	fig|192.162.peg.471	K01689	259.63	710.6	2.9e-214	"enolase 1/2/3 [EC:4.2.1.11]"
	fig|192.162.peg.647	K02588	363.57	17.2	0.0002	"nitrogenase iron protein NifH"
	fig|192.162.peg.724	K00134	410.33	14.4	0.0018	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
*	fig|192.162.peg.735	K15633	73.80	639.5	7.3e-193	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|192.162.peg.801	K02588	363.57	39.4	3.9e-11	"nitrogenase iron protein NifH"
	fig|192.162.peg.801	K22899	558.90	28.7	9.9e-08	"vanadium nitrogenase iron protein"
	fig|192.162.peg.853	K18425	508.83	11.8	0.011	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
*	fig|192.162.peg.891	K00134	410.33	480.7	6.4e-145	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|192.162.peg.1111	K02588	363.57	13.7	0.0024	"nitrogenase iron protein NifH"
	fig|192.162.peg.1112	K02588	363.57	11.3	0.013	"nitrogenase iron protein NifH"
	fig|192.162.peg.1296	K15634	204.30	81.6	9.2e-24	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|192.162.peg.1547	K00134	410.33	13.9	0.0025	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|192.162.peg.1651	K15634	204.30	91.5	9.5e-27	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|192.162.peg.1679	K02588	363.57	21.8	8.3e-06	"nitrogenase iron protein NifH"
*	fig|192.162.peg.1697	K00927	98.03	536.2	1.2e-161	"phosphoglycerate kinase [EC:2.7.2.3]"
	fig|192.162.peg.2068	K02588	363.57	13.7	0.0025	"nitrogenase iron protein NifH"
