#	gene name	KO	thrshld	score	E-value	"KO definition"
#	---------	------	-------	------	---------	-------------
	fig|1946878.5.peg.234	K15634	204.30	25.4	1.5e-06	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
	fig|1946878.5.peg.265	K15634	204.30	127.3	1.7e-37	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
*	fig|1946878.5.peg.578	K01689	259.63	748.9	9.7e-226	"enolase 1/2/3 [EC:4.2.1.11]"
	fig|1946878.5.peg.1008	K02588	363.57	44.3	1.6e-12	"nitrogenase iron protein NifH"
	fig|1946878.5.peg.1008	K22899	558.90	24.9	1.9e-06	"vanadium nitrogenase iron protein"
*	fig|1946878.5.peg.1102	K15633	73.80	786.4	3.3e-237	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
*	fig|1946878.5.peg.1316	K00134	410.33	580.1	5.8e-175	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
*	fig|1946878.5.peg.1317	K00927	98.03	557.6	5.2e-168	"phosphoglycerate kinase [EC:2.7.2.3]"
	fig|1946878.5.peg.1424	K02588	363.57	12.7	0.0062	"nitrogenase iron protein NifH"
	fig|1946878.5.peg.1472	K15633	73.80	11.0	0.016	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|1946878.5.peg.1655	K02588	363.57	36.0	5.3e-10	"nitrogenase iron protein NifH"
	fig|1946878.5.peg.1655	K22899	558.90	19.2	0.0001	"vanadium nitrogenase iron protein"
	fig|1946878.5.peg.1660	K18425	508.83	16.4	0.0006	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|1946878.5.peg.1867	K02588	363.57	18.2	0.00014	"nitrogenase iron protein NifH"
	fig|1946878.5.peg.1875	K02588	363.57	56.4	3.6e-16	"nitrogenase iron protein NifH"
	fig|1946878.5.peg.1875	K22899	558.90	37.7	2.5e-10	"vanadium nitrogenase iron protein"
	fig|1946878.5.peg.2417	K00134	410.33	393.2	2.8e-118	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|1946878.5.peg.2528	K18425	508.83	19.7	5.9e-05	"3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]"
	fig|1946878.5.peg.2754	K02588	363.57	25.0	1.2e-06	"nitrogenase iron protein NifH"
	fig|1946878.5.peg.2877	K02588	363.57	11.7	0.013	"nitrogenase iron protein NifH"
	fig|1946878.5.peg.2887	K15633	73.80	13.4	0.0029	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|1946878.5.peg.2931	K00134	410.33	60.9	1.8e-17	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
	fig|1946878.5.peg.3104	K15633	73.80	11.3	0.013	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
	fig|1946878.5.peg.3117	K15633	73.80	10.8	0.018	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
